2021-07-23T09:00:00
tag,title,lat,lon,part
basketball,Сонный баскетбол,52.26036,104.26261,0
park,Старый бункер,52.272194,104.2608,0
plane,Старая площадка,52.269676,104.283264,0
plane1,Старая площадка,52.119501,104.472651,0
basketball1,Сонный баскетбол,52.260338,104.262566,1
basketball2,Сонный баскетбол,52.2556,104.2476,2
basketball3,Сонный баскетбол,52.259834,104.23754,0
basketball4,Сонный баскетбол,52.26643,104.19785,0
basketball5,Сонный баскетбол,52.244476,104.27971,0
basketball6,Сонный баскетбол,52.22149,104.30306,0
basketball7,Сонный баскетбол,52.271145,104.30412,0
basketball8,Сонный баскетбол,52.282864,104.27321,0
basketball9,Сонный баскетбол,52.272,104.276955,0
basketball10,Сонный баскетбол,52.249,104.355415,0
basketball11,Сонный баскетбол,52.346966,104.16956,0
basketball12,Сонный баскетбол,52.28435,104.304955,0
